Marque,Ingr,Rating,Reference
Gucci,"YELLOW 5 8CI19140), TINOGARD TT, ISOBUTANE, BUTYLPHENYL METHYLPROPIONAL, HYDROXYPROPYL METHYLCELLULOSE, POLYGLYCERYL-10 DECAISOSTEARATE, SODIUM COCOAMPHOACETATE, JOUR, SYNTHETIC FLUORPHLOGOPITE, B221265/1),PARFUM (FRAGRANCE)",4.8,Intense Oud Eau de Parfum mixte
Police," PENTASODIUM PENTETATE,PROPYLENE GLYCOL, C10-18 TRIGLYCERIDES, B218914/1), ALCOHOL OF VEGETAL ORIGIN 80% VOL, SUCROSE ACETATE ISOBUTYRATE, BHT,C BLUE NO, OCTYLDODECYL PCA, STEARALKONIUM BENTONITE, 80% VOL, ANISE ALCOHOL BHT,UTILISER UN PRODUIT DE NOTRE MARQUE, FRAGRANCE, ALUMINUM CHLOROHYDRATE, WATER ( AQUA)",3.4,To Be Goodvibes Eau de Toilette pour homme
Hollister," TRIHYDROXYSTEARIN, ADENOSINE, PHOSPHOLIPIDS, HEXANAL, CETYL ALCOHOL, SODIUM STEARATE, 10), CETYL PEG PPG-10 1 DIMETHICONE, B229660/1), GLYCERYL CAPRYLATE, COCAMIDOPROPYL BETAINE, LINALLOL,ETHYLHEXYL SALICYLATE",5.0,Free Wave Eau de Parfum pour femme
Afnan," POLYMETHYL METHACRYLATE, CALCIUM LACTATE, SODIUM STEARATE, BUTYROSPERMUM PARKII (SHEA BUTTER), CI 60730 / EXT, BENZYL BENZOATE, BUTYLMETHOXYDIBENZOYLMETHANE, CITRIC ACID – BHT,ALCOHOL DENAT AQUA (WATER), EUGENOL, DISODIUM EDTA, METHYL 2-OCTYNOATE",1.0,Modest Une Pour Homme Eau de Parfum pour homme
Escentric Molecules," HYDROXYPROPYL METHYLCELLULOSE, CHARCOAL EXTRACT,AQUA / WATER, EUGENOL, TITANIUM / TITANIUM DIOXIDE, ALPHA-ISOMETHYLIONONE, STYRENE ACRYLATES COPOLYMER, , ALPHA-ISOM ETHYL,33 (CI 17200), SODIUM BENZOATE,C VIOLET NO, PROPANEDIOL, TOCOPHERYL ACETATE, EHTYLHEXYL METHOXYCINNAMATE",2.5,Escentric 02 Eau de Toilette mixte
Rasasi,"DIENTS PEUT FAIRE L'OBJET DE MODIFICATIONS, AGAR, CI 42090 (BLUE 1),ALCOHOL DENAT,GERANIOL,C YELLOW NO, FRAGRANCE, MENTHOL, WATER/AQUA/EAU, BENZYLALCOHOL, SODIUM PHOSPHATE, STYRENE/ACRYLATES COPOLYMER, GLYCERYL STEARATE, CI 14700 (RED 4) ",5.0,Rumz Al Rasasi Zebra Pour Elle Eau de Parfum pour femme
The Library of Fragrance,"BUTYL METHOXYDIBENZOYLMETHANE,AQUA (WATER)PARFUM (FRAGRANCE),C BLUE NO, COMPOUND TO BE CHARMANTE 49389001 DROM, POLYSORBATE 60, CI 14700 (RED 4) CI 17200 (RED 33) CI 60730 (EXT, TITANIUM / TITANIUM DIOXIDE, ETHYLHEXYL HYDROXYSTEARATE, CI 77891 (TITANIUM DIOXIDE), CI 19140
(YELLOW 5), ETHYLHEXYL SALICYLATE, ISOEUGENOL, CI 14700 / RED 4 (F",3.5,Baby Powder eau de cologne mixte
Maison Margiela," RASPBERRY KETONE, CAPRYLIC/CAPRIC TRIGLYCERIDE, BUTYLPHENYL METHYLPROPIONAL –, RED 4 (CI 14700), PARFUM,SD ALCOHOL 40-B (ALCOHOL DENAT, ETHYLHEXYLGLYCERIN,ETHYLHEXYL SALICYLATE, C, XANTHAN GUM, LYCIUM CHINENSE FRUIT EXTRACT, B174423/1)",5.0,REPLICA By the Fireplace Eau de Toilette mixte
Jeanne Arthes," GERANIOL, 
COUMARIN, CITRONELLOL, C183783/1), 2 (CI 60730), LINALOOL
, CI14700 (RED 4), NITROCELLULOSE, CI 77163 (BISMUTH OXYCHLORIDE), CI 42053 (GREEN 3), ALCOHOL DENAT, VIOLET 2) , NIACINAMIDE, HYDRATED SILICA, BUTYL METHOXYDIBENZOYLMENTHANE, PENTASODIUM PENTETATE",3.1,Cassandra Rose Jasmine Eau de Parfum pour femme
Halloween," TETRASODIUM EDTA, WATER (AQUA/EAU), EVERNIA PRUNASTRI (OAK MOSS) EXTRACT –, CI60730 (EXT,CI 17200 (RED 33), HYDRATED SILICA, CI 15985 (YELLOW 6),CITRAL, GERANIL, LIRE LA LISTE D'INGR&EACUTE, PROPANE, CI 42090 (BLUE 1 LAKE)], DIETHYLAMINO , CI 14700 (RED 4) , SODIUM CHLORIDE, CI17200",3.5,Man X Eau de Toilette pour homme
The Library of Fragrance," LYCIUM CHINENSE FRUIT EXTRACT, B221715/1), COUMARIN,D&C VIOLET NO, DILAURYL THIODIPROPIONATE, VIOLET 2) , 
CINNAMAL,CI 19140/YELLOW 5, WATER,LES LISTES D'INGR&EACUTE, CI 42090 (FD&C BLUE NO, CI 61570 / GREEN 5 (F, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, CI 14700 (RED 4) CI 17200 (RED 33) CI 60730 (EXT,BENZYL BENZOATE, ALLANTOIN,DIENTS PEUT FAIRE L'OBJET DE MODIFICATIONS,CI 19140 (YELLOW 5), MAGNESIUM ASCORBYL PHOSPHATE",3.9,Wet Garden eau de cologne mixte
Al Haramain," CETYL HYDROXYETHYLCELLULOSE, TOURMALINE,1% WATER SOL,4 (CI 15510), POLYSORBATE 60, VP/VA COPOLYMER, WATER ( AQUA), BENZYL SALICYLATE,LINALOOL, ACRYLATES COPOLYMER, WATER (AQUA), CITRATE, METHYLPROPANEDIOL, HYDROXYPROPYL METHYLCELLULOSE, PARFUM/FRAGRANCE ·AQUA/WATER/EAU, GLYCOGEN, MENTHOL, CALCIUM ALUMINUM BOROSILICATE,, METHYL 2-OCTYNOATE",4.5,Makkah huile parfumee mixte
Ajmal," OCTOCRYLENE ·ETHYLHEXYL METHOXYCINNAMATE ·LIMONENE, WATER, COMPOUND TO BE CHARMANTE 49389001 DROM, PROPYLENE GLYCOL, TETRASODIUM EDTA, VOUS &ECIRC, POTASSIUM CHLORIDE, CAPRYLIC/CAPRIC TRIGLYCERIDE, C183783/1), CI 60730 (EXT, AQUA (WATER) PARFUM (FRAGRANCE) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE ALPHA-ISOMETHYL IONONE LIMONENE CITRONELLOL COUMARIN HYDROXYCITRONELLAL LINALOOL CITRAL ISOEUGENOL BENZYL BENZOATE GERANIOL ANISE ALCOHOL BENZYL ALCOHOL BHT TOCOPHEROL, DIETHYLHEXYL ADIPATE, 1, GREEN 5(CI 61570), (SD ALCOHOL 39-C) –, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,#15080/A ALCOHOL, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, CI 19140 / YELLOW 5",4.7,Fantabulous Eau de Parfum pour femme
Zlatan Ibrahimovic," TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE (F, PROPANE, EXT D&, BUTANE,L ETHYLHEXYL METHOXYCINNAMATE LIMONENE, BUTYLENE GLYCOL, CI17200,UPPER MASK: AQUA / WATER / EAU, CI 15850, PARFUM (FRAGRANCE) –, 1",3.0,Myth Wood Eau de Toilette pour homme
Rasasi," TITANIUM / TITANIUM DIOXIDE, TOURMALINE, PARAFFINUM LIQUIDUM, CI17200, CI 14700 (RED 4) CI 17200 (RED 33) CI 60730 (EXT, HYDROGENATED COCO-GLYCERIDES,CI 19140/YELLOW 5, GLYCERIN,#08212 ALCOHOL, LINALOOL,#10076 ALCOHOL, TINOGARD TT, CETEARYL ALCOHOL",4.2,Kun Mukhtalifan Women Eau de Parfum pour femme
Montblanc," ANISE ALCOHOL, BENZYLALCOHOL, VEUILLEZ CONSULTER L'EMBALLAGE DU PRODUIT ACHET&EACUTE, RASPBERRY KETONE, YELLOW 5 (C,C BLUE N&DEG,SD ALCOHOL 40-B (ALCOHOL DENAT, EVERNIA FURFURACEA EXTRACT / TREEMOSS EXTRACT,DIENTS ENTRANT DANS LA COMPOSITION DES PRODUITS DE NOTRE MARQUE SONT R&EACUTE, 33 (CI 17200),#08212 ALCOHOL, AVANT D’, CI 60730 (EXT, BEZYL SALICYLATE, VIOLET 2 (CI 60730)",4.4,Explorer Eau de Parfum pour homme
SANTINI Cosmetic," HYDROGEN PEROXIDE, PANTHENOL, BHT , CI 15510, CI 14700 (RED 4) , CI 60730/EXT, B205877/1),REMENT MISES &AGRAVE, STYRENE ACRYLATES COPOLYMER, GERANIL, XANTHAN GUM,#16093 DIISOSTEARYL MALATE, ALPHA-ISOM ETHYL, AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, AQUA (WATER) PARFUM (FRAGRANCE) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE ALPHA-ISOMETHYL IONONE LIMONENE CITRONELLOL COUMARIN HYDROXYCITRONELLAL LINALOOL CITRAL ISOEUGENOL BENZYL BENZOATE GERANIOL ANISE ALCOHOL BENZYL ALCOHOL BHT TOCOPHEROL, CI 15985 / YELLOW 6, ALLANTOIN, DISTEARDIMONIUM HECTORITE, HYDROXYCITRONELLAL",4.2,Celline Eau de Parfum pour femme
Mexx," B234239/1), FRAGRANCE (PARFUM), EVERNIA PRUNASTRI (OAK MOSS) EXTRACT –, WATER/AQUA/EAU, COMMIPHORA MUKUL RESIN EXTRACT,#07999 ALCOHOL, PARAFFINUM LIQUIDUM, ANISE ALCOHOL BHT, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT,CITRONELLOLLINALOOL",2.6,Forever Classic Never Boring for Her Eau de Toilette pour femme
Kelsey Berwin,"ALPHA-ISOMETHYL IONONE, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, WATER (AQUA/EAU), YELLOW 5 (C, ETHYHEXYL SALICYLATE, BENZOPHENONE -3, CYAMOPSIS TETRAGONOLOBA (GUAR) GUM,CITRONELLOLLINALOOL, ACRYLATES COPOLYMER, AQUA / WATER, CI17200, HYDROGENATED POLYISOBUTENE, RED 33 (CI 17200), D&C VIOLET NO",3.4,Osmond de Noir Eau de Parfum pour femme
Bvlgari," BUTYL METHOXY DIBENZOYLMETHANE, SACCHAROMYCES COPPER FERMENT, MAGNESIUM ASCORBYL PHOSPHATE, EXT D&, BUTYLENE GLYCOL
DICAPRYLATE/DICAPRATE, HELIANTHUS ANNUUS SEED OIL, SODIUM OLIVAMPHOACETATE, B225989/1), PARFUM (FRAGRANCE), BENZYL BENZOATE, AQUA (WATER) PARFUM (FRAGRANCE) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE ALPHA-ISOMETHYL IONONE LIMONENE CITRONELLOL COUMARIN HYDROXYCITRONELLAL LINALOOL CITRAL ISOEUGENOL BENZYL BENZOATE GERANIOL ANISE ALCOHOL BENZYL ALCOHOL BHT TOCOPHEROL, SODIUM HYDROXIDE, CI 19140 / YELLOW 5, DILAURYL THIODIPROPIONATE, CELLULOSE GUM, BENZYL GLYCOL,CINNAMAL, RED 4 (CI 14700)",5.0,Splendida Tubereuse Mystique Eau de Parfum pour femme
Versace," PARFUM/FRAGRANCE ·AQUA/WATER/EAU, GLYCINE SOJA (SOYBEAN / SOJA) OIL, CINNAMYL ALCOHOL, ISOPROPYL ALCOHOL, BENZOATE,CINNAMAL, CAPRYLYL GLYCOL, STYRENE/ACRYLATES COPOLYMER, FD&C RED NO, CITRONELLOL ·EUGENOL, CI 16035 (FD&C RED NO, C251806/1), CINNAMYL ALCOHOL (F, CI 14700, JOJOBA ESTERS,PARFUM (FRAGRANCE), CI 15850, O-CYMEN-5-OL",4.6,Eros Pour Femme Eau de Parfum pour femme
Gabriela Sabatini," SACCHAROMYCES SILICON FERMENT, WATER / AQUA, BENZYL ALCOHOL, SODIUM LAUROYL SARCOSINATE, ACETYL HEXAPEPTIDE-8,#12194/A ALCOHOL, B27982/1), DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, LECITHIN, CI 19140 / YELLOW 5",3.9,Gabriela Sabatini Eau de Toilette pour femme
The Library of Fragrance," LIMONENE, B228531/1),DA L’ORÉAL REGELMÄßIG NEUE WISSENSCHAFTLICHE ERKENNTNISSE IN DIE PRODUKTFORMULIERUNG EINFLIEßEN LÄSST,AQUA (WATER)PARFUM (FRAGRANCE), ISOBUTANE, DISODIUM EDTA (F, 2 (CI 60730), CI 42053 (GREEN 3), CI 42090 (BLUE 1 LAKE)], POLYGLYCERYL-10 DECAISOSTEARATE, BHT, CI 19140 (FD&C YELLOW NO, TOCOPHEROL, , HYDROGENATED LECITHIN",3.1,Zodiac Collection Leo Eau de Toilette mixte
Revlon," CI17200, CITRONELLOL, MENTHOL, LINALOOL ·COUMARIN, CI 77891 (TITANIUM DIOXIDE), BUTYLPHENYL METHYLPROPIONAL –, CI 17200(RED 33), LINALOO, PEG-40 STEARATE, PARFUM / FRAGRANCE, COCAMIDOPROPYL BETAINE, 1),1% WATER SOL, ALLANTOIN, BLUE 1 (CI 42090), BENZYL BENZOATE (F, B234239/1),1 (CI 42090), SYNTHETIC WAX, DISODIUM EDTA (F",5.0,Charlie Red Eau de Toilette pour femme
Alfred Sung," DIETHYLHEXYL ADIPATE, (SD ALCOHOL 39-C), GLYCOGEN, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE, POTASSIUM SORBATE, CENTAUREA CYANUS FLOWER WATER, TOCOPHERYL ACETATE, KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN, PROPYL GALLATE,CI 19140/YELLOW 5, CI 42090/BLUE 1 [V1416E], WIRD NACHFOLGEND EINE INHALTSSTOFFLISTE FÜR JEDEN BESTANDTEIL ANGEGEBEN, ADIPIC ACID NEOPENTYL GLYCOL TRIMELLITIC ANHYDRIDE COPOLYMER,CITRONELLOLLINALOOL, POLYMETHYL METHACRYLATE, ALCOHOL DENAT, D&C VIOLET NO",3.9,Forever Eau de Parfum pour femme
Lancome," ADIPIC ACID NEOPENTYL GLYCOL TRIMELLITIC ANHYDRIDE COPOLYMER, POLYMETHYL METHACRYLATE, B234239/1), VP/VA COPOLYMER, ETHYLHEXYLGLYCERIN, TITANIUM/TITANIUM DIOXIDE, CI 47005 (D&C YELLOW NO,ETHYL ALCOHOL DENAT, PROPANE, GREEN 5(CI 61570),19140),C RED NO, TINOGARD TT, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, 2 0, 1",5.0,Hypnose Eau de Parfum pour femme
Ferrari,"PARFUM/FRAGRANCE, PROPYLENE GLYCOL,LES LISTES D’, GERANIOL, C251806/1), ISOPROPYL ALCOHOL, HYDROXYCITRONELIAL, ALPHA-ISOM ETHYL, ,ALPHA-ISOMETHYL IONONE, BUTYLENE GLYCOL, BENZYL SALICYLATE",4.4,Noble Fig Eau de Toilette mixte
DKNY,"#13877 ALCOHOL, 40), HEXYLCINNAMAL, CETYL PEG PPG-10 1 DIMETHICONE, HYDROGENATED LECITHIN, PIPERONYL GLUCOSIDE, YELLOW 5 (C, ALPHA-ISOMETHYLIONONE, CI 15850, PARFUM / FRAGRANCE, ALUMINUM CHLOROHYDRATE",4.1,My NY Eau de Parfum pour femme
The Library of Fragrance," POLYQUATERNIUM-7, AQUA (WATER), CI 10316, POLYGLYCERYL-10 DECAISOSTEARATE, CERATONIA SILIQUA GUM,METHYL 2-OCTYNOATE,#08212 ALCOHOL, BUTYL METHOXYDIBENZOYLMENTHANE, BEI PRODUKTEN,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, METHOXYCINNAMATE,CI 17200 (RED 33),AQUA/WATER/EAU",2.9,Mountain Laurel eau de cologne mixte
DIOR," B28669/1), BENZYL BENZOATE,INGREDIENTS  BUTYL ACETATE, CETEARETH-30,ALCOHOL DENAT AQUA (WATER), MAGNESIUM ASCORBYL PHOSPHATE,CI 14700 (RED 4),BENZYL SALICYLATE, SODIUM OLIVAMPHOACETATE, ALPHA-ISOMETHYLIONONE, HEXANAL",4.4,J'adore Roller Pearl Eau de Parfum roll on pour femme
Atelier Cologne," CI 19140(YELLOW 5),#09238/A ALCOHOL, WATER / AQUA,#16093 DIISOSTEARYL MALATE, BUTYL METHOXYDIBENZOYLMETHANE, FD&C RED NO,PARFUM/FRAGRANCE, DIMETHYL OXOBENZO DIOXASILANE, TRIDECETH-2 CARBOXAMIDE MEA, BHT, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,SD ALCOHOL 40-B (ALCOHOL DENAT, CI 42090 (BLUE 1), CETYL HYDROXYETHYLCELLULOSE",2.7,Iris Rebelle parfum mixte
Al Haramain,"I, VIOLET 2 (F, CI 47005 (D&C YELLOW NO,TES INVIT&EACUTE, BUTYL METHOXY DIBENZOYLMETHANE, FRAGRANCE (PARFUM), TITANIUM / TITANIUM DIOXIDE, ISOEUGENOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, GERANIL, ALCOHOL ·TRIS(TETRAMETHYLHYDROXYPIPERIDINOL)CITRATE, PERFLUORODECALIN, AVANT D'UTILISER UN PRODUIT DE NOTRE MARQUE, C167920/1), OCTYLDODECYL PCA,#08212 ALCOHOL, PROPANE",3.5,Coupe Eau de Parfum pour homme
Swiss Arabian," GLYCOGEN, PENTAERYTHRITYL TETREA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, C241615/1), HYDROGENATED STYRENE/METHYLSTYRENE/INDENE COPOLYMER,CI 17200 (RED 33), BUTYL METHOXYDIBENZOYLMETHANE, ALPHA-ISOMETHYL IONONE – CITRAL – CITRONELLOL – COUMARIN – GERANIOL – LIMONENE – LINALOOL, CETEARYL ALCOHOL, PEG-40 HYDROGENATED CASTOR OIL,AQUA (WATER), BENZYL SALICYLATE, AVANT D'UTILISER UN PRODUIT DE NOTRE MARQUE, RED 33 / CI 17200, WATER (AQUA)",4.6,Sehr Al Sheila Eau de Parfum pour femme
Amouage," ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN, CI 61570 / GREEN 5 (F,C VIOLET NO, ANISE ALCOHOL (F, BEI PRODUKTEN, APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS, BUTYLPHENYL METHYLPROPIONAL,B, STYRENE ACRYLATES COPOLYMER,AQUA (WATER)PARFUM (FRAGRANCE), DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE,AQUA (WATER), CHARCOAL EXTRACT,AQUA,ALCOHOL DENAT, 78, ETHYLHEXYL HYDROXYSTEARATE",3.2,Figment Eau de Parfum pour femme
The Library of Fragrance,"C BLUE N&DEG,C RED N&DEG,ALPHA-ISOMETHYL IONONE, PHOSPHOLIPIDS, SUCROSE ACETATE ISOBUTYRATE, CI 19140
(YELLOW 5), ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN, CI 15510, BENZOATE, PARAFFINUM LIQUIDUM, XANTHAN GUM, DISCLAIMER:L’ORÉAL STELLT IHNEN DIE NACHSTEHENDEN INHALTSSTOFFLISTEN AUF IHREN WUNSCH ZUR VERFÜGUNG, B205877/1),I",3.9,Caipirinha eau de cologne mixte
Lancome," PARFUM (FRAGRANCE) AQUA (WATER) BENZYL SALICYLATE LINALOOL HEXYL CINNAMAL HYDROXYCITRONELLAL ALPHA-ISOMETHYL IONONE CITRONELLOL LIMONENE GERANIOL EUGENOL BENZYL BENZOATE BENZYL ALCOHOL CITRAL, CI 19140(YELLOW 5), CI 77499 (IRON OXIDES), TINOGARD TT,DIENTS PEUT FAIRE L'OBJET DE MODIFICATIONS, YELLOW 5 (C,ALCOHOL DENAT AQUA (WATER), HYDROLYZED JOJOBA ESTERS,19140), AQUA (WATER), SACCHAROMYCES ZINC FERMENT",5.0,La Nuit Tresor Musc Diamant Eau de Parfum pour femme
The Library of Fragrance," SODIUM HYALURONATE, SODIUM BENZOATE, EXT, POTASSIUM SORBATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, AMYL CINNAMAL, DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z, BENZYL ALCOHOL, , CALCIUM ALUMINUM BOROSILICATE",3.6,Lilac Eau de Toilette pour femme
Miller Harris," 19140 (YELLOW 5), 33 (CI 17200), NITROCELLULOSE, TETRASODIUM EDTA,AQUA, SODIUM PHOSPHATE,CITRAL, EUGENOL, CETYL HYDROXYETHYLCELLULOSE,BENZYL BENZOATE, ETHYLHEXYL PALMITATE, CI 47005 (D&C YELLOW NO, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, CI42090, STEARETH-2, MENTHOL, CETEARETH-30,HYDROXYCITRONELLAL, WATER (AQUA)",4.5,Rose Silence Eau de Parfum mixte
Reminiscence," SODIUM PHOSPHATE, MENTHOL,COUMARIN, B27982/1), ALCOHOL OF VEGETAL ORIGIN 80% VOL, BENZOPHENONE-1, CI 60730 (EXT VIOLET 2), HYDROLYZED COLLAGEN, HYDROGENATED COCO-GLYCERIDES,1% WATER SOL, SODIUM BENZOATE, BENZYL BENZOATE, CI 14700 / RED 4, CITRONELLYL METHYCROTONATE, CI 77499 (IRON OXIDES), CETYL HYDROXYETHYLCELLULOSE",5.0,Heliotrope Eau de Parfum pour femme
The Library of Fragrance,"CITRAL,ALCOOL DENAT, DIAMOND POWDER, VOTRE UTILISATION PERSONNELLE, BEI PRODUKTEN, POLYMETHYL METHACRYLATE, PEAT WATER, TRIDECETH-2 CARBOXAMIDE MEA, PARFUM (FRAGRANCE) – AQUA (WATER/EAU), CI 60730(EXT, SODIUM COCOAMPHOACETATE",4.2,Tangerine eau de cologne mixte
Amouage," DIPROPYLENE GLYCOL, FARNESOL (F, AESCULUS HIPPOCASTANUM SEED EXTRACT, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, WATER / AQUA, METHYL 2-OCTYNOATE, 4 (CI 14700),#13877 ALCOHOL, PEG-90 GLYCERYL ISOSTEARATE,ALCOHOL DENAT AQUA (WATER), DISODIUM EDTA (F, ALCOHOL OF VEGETAL ORIGIN 80% VOL, OCTOCRYLENE ·ETHYLHEXYL METHOXYCINNAMATE ·LIMONENE,#07999 ALCOHOL",3.7,Blossom Love Eau de Parfum pour femme
Miller Harris," FARNESOL,, IRVINGIA GABONENSIS KERNEL BUTTER, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE –, ANISE ALCOHOL BHT,ALCOHOL  DENAT, DIPROPYLENE GLYCOL, TOCOPHERYL ACETATE,CI 19140/YELLOW 5, CI 42090 / BLUE 1 ",3.0,Vetiver Insolent Eau de Parfum mixte
Rochas,"PARFUM ( FRAGRANCE), CYAMOPSIS TETRAGONOLOBA (GUAR) GUM, B234239/1), HEXYLENE GLYCOL, CETEARYL ETHYLHEXANOATE,CI 60730 (EXT VIOLET 2),BHT, SACCHAROMYCES MAGNESIUM FERMENT, AVANT D'UTILISER UN PRODUIT DE NOTRE MARQUE, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, WATER ( AQUA), CI 14700 (RED 4) CI 17200 (RED 33) CI 60730 (EXT,ETHYL ALCOHOL DENAT,C RED NO,YELLOW 5 8CI19140), ORANGE 4 (CI 15510), DIETHYLHEXYL ADIPATE, LINALOO,",4.9,Mademoiselle Rochas Couture Eau de Parfum pour femme
Carthusia," BENZYL SALICYLATE, AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT, RED 33 (CI 17200), CI 19140 / YELLOW 5, FARNESOL, 2 0,AQUA/WATER/EAU, ISOPROPYL MYRISTATE, CAPRYLYL GLYCOL, 60730), BENZYL ALCOHOL, BENZYL BENZOATE",4.2,Io Capri parfum mixte
Acqua dell' Elba," ISOBUTANE,2-HEXANEDIOL, SODIUM LAURETH SULFATE, FARNESOL, GLYCERYL CAPRYLATE, LACTIC ACID, CI 19140(YELLOW 5),1 (CI 42090), METHYL ANTHRANILATE, UREA, PEAT WATER, BENZYL ALCOHOL, DIPROPYLENE GLYCOL, 79% VOL,LIMONENE,S &AGRAVE, CI 42090 / BLUE 1 , 1",5.0,Arcipelago Women Eau de Parfum pour femme
Reminiscence," CINNAMAL, CYCLOPENTASILOXANE, ANISE ALCOHOL (F, FD&, HYDROXYCITRONELIAL, CI14700 (RED 4), 80% VOL, B, RED 33 / CI 17200, WATER ( AQUA), SODIUM LAUROYL SARCOSINATE, PEG-100 STEARATE, GERANIOL (F, SODIUM LAURETH SULFATE, CI 15985 / YELLOW 6, AQUA (WATER) PARFUM (FRAGRANCE) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE ALPHA-ISOMETHYL IONONE LIMONENE CITRONELLOL COUMARIN HYDROXYCITRONELLAL LINALOOL CITRAL ISOEUGENOL BENZYL BENZOATE GERANIOL ANISE ALCOHOL BENZYL ALCOHOL BHT TOCOPHEROL, PIROCTONE OLAMINE, OCTOCRYLENE ·ETHYLHEXYL METHOXYCINNAMATE ·LIMONENE",5.0,Rem Eau de Toilette mixte
Afnan," CERATONIA SILIQUA GUM, ISOPROPYL ALCOHOL, HYDROXYCITRONELLAL, BUTYL METHOXY DIBENZOYLMETHANE, TROMETHAMINE,C VIOLET NO, B229660/1), STYRENE ACRYLATES COPOLYMER, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, BUTANE, CI 42090 / BLUE 1 ,2-HEXANEDIOL, SODIUM BENZOATE, HYDROGEN PEROXIDE, CI 42090 (BLUE 1)",4.3,Faten White Eau de Parfum pour femme
Comptoir Sud Pacifique," B226070/1), VIOLET 2 (F, SODIUM HYALURONATE,ETHYLHEXYL METHOXYCINNAMATE, CI 17200, PARFUM(FRAGRANCE), 5 (CI 19140), SODIUM CHLORIDE, SODIUM PHOSPHATE, BISABOLOL",4.7,Bois Royal Eau de Parfum mixte
Bois 1920," PARFUM, HYDROXYCITRONELIAL, ALCOHOL ·TRIS(TETRAMETHYLHYDROXYPIPERIDINOL)CITRATE, PARFUM / FRAGRANCE, DIETHYLHEXYL ADIPATE, B174423/1), PEG-4, ALPHA-ISOMETHYL IONONE, POLYGLYCERYL-10 DECAISOSTEARATE, 
COUMARIN, CI 17200(RED 33), ISOPROPYL MYRISTATE, BUTYLENE GLYCOL, ACRYLATES COPOLYMER, ADENOSINE, B226070/1), CALCIUM LACTATE",3.1,Verde di Mare Eau de Parfum mixte
